_id,YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,ResponseID,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
6384b0f15cf8afb9bcf11cdc,2020,2020,TX,Texas,BRFSS,Asthma,Asthma prevalence among women aged 18-44 years,,%,Crude Prevalence,9.9,9.9,,,6.5,14.9,Race/Ethnicity,Hispanic,,,,,,48,AST,AST1_2,CRDPREV,RACE,HIS,,,,
6384b0f15cf8afb9bcf11cdd,2020,2020,HI,Hawaii,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Crude Prevalence,6,6,,,5,7.1,Gender,Male,,,,,,15,AST,AST1_1,CRDPREV,GENDER,GENM,,,,
6384b0f15cf8afb9bcf11cde,2020,2020,AK,Alaska,BRFSS,Asthma,Asthma prevalence among women aged 18-44 years,,%,Crude Prevalence,12.8,12.8,,,9.4,17.3,Overall,Overall,,,,,,2,AST,AST1_2,CRDPREV,OVERALL,OVR,,,,
6384b0f15cf8afb9bcf11cdf,2020,2020,GU,Guam,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,5.1,5.1,,,3.5,7.2,Overall,Overall,,,,,,66,AST,AST1_1,AGEADJPREV,OVERALL,OVR,,,,
6384b0f15cf8afb9bcf11ce1,2020,2020,AK,Alaska,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,8.5,8.5,,,5.5,13,Race/Ethnicity,"Other, non-Hispanic",,,,,,2,AST,AST1_1,AGEADJPREV,RACE,OTH,,,,
6384b0f15cf8afb9bcf11ce2,2020,2020,MD,Maryland,BRFSS,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with asthma,,%,Age-adjusted Prevalence,37.1,37.1,,,32.1,42.4,Overall,Overall,,,,,,24,AST,AST6_1,AGEADJPREV,OVERALL,OVR,,,,
6384b0f15cf8afb9bcf11ce4,2020,2020,DE,Delaware,BRFSS,Asthma,Influenza vaccination among noninstitutionalized adults aged 18-64 years with asthma,,%,Age-adjusted Prevalence,40.1,40.1,,,32.5,48.2,Overall,Overall,,,,,,10,AST,AST5_1,AGEADJPREV,OVERALL,OVR,,,,
6384b0f15cf8afb9bcf11ce5,2020,2020,DE,Delaware,BRFSS,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with asthma,,%,Age-adjusted Prevalence,36.2,36.2,,,26.2,47.5,Race/Ethnicity,"White, non-Hispanic",,,,,,10,AST,AST6_1,AGEADJPREV,RACE,WHT,,,,
6384b0f15cf8afb9bcf11ce6,2020,2020,AZ,Arizona,BRFSS,Asthma,Influenza vaccination among noninstitutionalized adults aged 18-64 years with asthma,,%,Age-adjusted Prevalence,37.1,37.1,,,31.3,43.2,Race/Ethnicity,"White, non-Hispanic",,,,,,4,AST,AST5_1,AGEADJPREV,RACE,WHT,,,,
6384b0f15cf8afb9bcf11ce7,2020,2020,CA,California,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,,%,Age-adjusted Prevalence,9.3,9.3,,,8.2,10.5,Overall,Overall,,,,,,6,AST,AST1_1,AGEADJPREV,OVERALL,OVR,,,,
