_id,YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,ResponseID,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
6384b0f15cf8afb9bcf12f1f,2020,2020,NV,Nevada,BRFSS,Diabetes,Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,,%,Crude Prevalence,43.0,43.7,,,28.8,59.9,Gender,Male,,,,,,32,DIA,DIA12_1,CRDPREV,GENDER,GENM,,,,
6384b0f15cf8afb9bcf12f20,2020,2020,NE,Nebraska,BRFSS,Diabetes,Diabetes prevalence among women aged 18-44 years,,%,Crude Prevalence,7.0,7.2,,,5.7,8.9,Overall,Overall,,,,,,31,DIA,DIA2_2,CRDPREV,OVERALL,OVR,,,,
6384b0f15cf8afb9bcf12f22,2020,2020,DC,District of Columbia,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,,%,Age-adjusted Prevalence,8.0,8.4,,,7.1,10.0,Gender,Female,,,,,,11,DIA,DIA2_1,AGEADJPREV,GENDER,GENF,,,,
6384b0f15cf8afb9bcf12f24,2020,2020,AZ,Arizona,BRFSS,Diabetes,Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,,%,Crude Prevalence,61.0,61.9,,,48.8,73.5,Race/Ethnicity,Hispanic,,,,,,4,DIA,DIA12_2,CRDPREV,RACE,HIS,,,,
6384b0f15cf8afb9bcf12f25,2020,2020,DC,District of Columbia,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,,%,Crude Prevalence,70.0,70.0,,,59.7,78.7,Gender,Female,,,,,,11,DIA,DIA7_0,CRDPREV,GENDER,GENF,,,,
6384b0f15cf8afb9bcf12f29,2020,2020,DE,Delaware,BRFSS,Diabetes,Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,,%,Age-adjusted Prevalence,36.0,36.9,,,27.5,47.5,Race/Ethnicity,"White, non-Hispanic",,,,,,10,DIA,DIA12_1,AGEADJPREV,RACE,WHT,,,,
6384b0f15cf8afb9bcf12f2b,2020,2020,CO,Colorado,BRFSS,Diabetes,Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,,%,Crude Prevalence,60.0,60.7,,,52.8,68.1,Race/Ethnicity,"White, non-Hispanic",,,,,,8,DIA,DIA12_1,CRDPREV,RACE,WHT,,,,
6384b0f15cf8afb9bcf12f30,2020,2020,FL,Florida,BRFSS,Diabetes,Foot examination among adults aged >= 18 years with diagnosed diabetes,,%,Age-adjusted Prevalence,80.0,80.6,,,67.5,89.3,Race/Ethnicity,"Black, non-Hispanic",,,,,,12,DIA,DIA5_0,AGEADJPREV,RACE,BLK,,,,
6384b0f15cf8afb9bcf12f31,2020,2020,FL,Florida,BRFSS,Diabetes,Foot examination among adults aged >= 18 years with diagnosed diabetes,,%,Age-adjusted Prevalence,49.0,49.8,,,34.4,65.2,Race/Ethnicity,Hispanic,,,,,,12,DIA,DIA5_0,AGEADJPREV,RACE,HIS,,,,
6384b0f15cf8afb9bcf12f36,2020,2020,CA,California,BRFSS,Diabetes,Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,,%,Crude Prevalence,43.0,43.6,,,32.4,55.4,Gender,Male,,,,,,6,DIA,DIA12_1,CRDPREV,GENDER,GENM,,,,
