_id,YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,ResponseID,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
6384b0f15cf8afb9bcf11831,2020,2020,VA,Virginia,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,3.1,3.1,,,2.8,3.4,Gender,Male,,,,,,51,MTH,MTH1_0,MEAN,GENDER,GENM,,,,
6384b0f15cf8afb9bcf11832,2020,2020,CT,Connecticut,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,4.0,4.0,,,3.8,4.3,Overall,Overall,,,,,,9,MTH,MTH1_0,MEAN,OVERALL,OVR,,,,
6384b0f15cf8afb9bcf11833,2020,2020,CO,Colorado,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,6.3,6.3,,,4.8,7.8,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,,8,MTH,MTH1_0,MEAN,RACE,MRC,,,,
6384b0f15cf8afb9bcf11834,2020,2020,CO,Colorado,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,5.3,5.3,,,4.1,6.5,Race/Ethnicity,"Black, non-Hispanic",,,,,,8,MTH,MTH1_0,AGEADJMEAN,RACE,BLK,,,,
6384b0f15cf8afb9bcf11835,2020,2020,FL,Florida,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,3.3,3.3,,,2.9,3.7,Gender,Male,,,,,,12,MTH,MTH1_0,AGEADJMEAN,GENDER,GENM,,,,
6384b0f15cf8afb9bcf11836,2020,2020,GA,Georgia,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,4.5,4.5,,,4.2,4.8,Overall,Overall,,,,,,13,MTH,MTH1_0,AGEADJMEAN,OVERALL,OVR,,,,
6384b0f15cf8afb9bcf11837,2020,2020,CA,California,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Age-adjusted Mean,4.8,4.8,,,4.3,5.3,Race/Ethnicity,"White, non-Hispanic",,,,,,6,MTH,MTH1_0,AGEADJMEAN,RACE,WHT,,,,
6384b0f15cf8afb9bcf11838,2020,2020,AZ,Arizona,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,,%,Crude Prevalence,20.1,20.1,,,17.7,22.7,Overall,Overall,,,,,,4,MTH,MTH2_0,CRDPREV,OVERALL,OVR,,,,
6384b0f15cf8afb9bcf11839,2020,2020,DE,Delaware,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,8.2,8.2,,,4.5,11.9,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,,10,MTH,MTH1_0,MEAN,RACE,MRC,,,,
6384b0f15cf8afb9bcf1183a,2020,2020,AK,Alaska,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,3.3,3.3,,,2.9,3.7,Overall,Overall,,,,,,2,MTH,MTH1_0,MEAN,OVERALL,OVR,,,,
